repo_a,repo_b,winner,multiplier,reasoning
succinctlabs/sp1,a16z/helios,succinctlabs/sp1,3,"SP1 is one of the major ZK-EVM provers and is already used in various projects in the Ethereum ecosystem. Helios is a light client verification software library. SP1 is one-of-many and Helios is close to unique (though now Colibri also exists), but SP1 is more mature and has much more mission-critical production usage."
OffchainLabs/prysm,a16z/helios,OffchainLabs/prysm,5.5,"Consensus clients are critical for the operation of the Ethereum network, and Prysm is the second largest one, with ~22% market share. Helios does important work, but it is early-stage and not yet used by many projects. On the whole, intuitively, the Ethereum network existing at all is ~50x more important than light client access, consensus clients are half of that, and Prysm is ~22% of that, so 50 * 0.5 * 0.22 = 5.5"
ethereum/go-ethereum,hyperledger/besu,ethereum/go-ethereum,1.5,"Geth has 41% market share, Besu 16%, in the same space (execution clients). But we give Besu relatively more score (than 16/41 of geth) because it contributes to client diversity more as a minority client."
ethereum/go-ethereum,a16z/helios,ethereum/go-ethereum,10,"Intuitively, Ethereum existing at all is 50x more important than light client access (what Helios does). Exec clients get half of that, geth is 42%, but we penalize a bit because it's #1 so it contributes less to client diversity. So we get 50x * 0.5 * 0.3 = 7.5x, and then increase to 10x because Helios is not the only game in town on light client access (Colibri exists too)"
hyperledger/besu,ethstaker/ethstaker-deposit-cli,hyperledger/besu,8,"Intuitively, Ethereum existing at all is ~50x more important than staking convenience. Execution clients are half of that, and Besu is 16% of that, so 50 * 0.5 * 0.16 = 8"
ethers-io/ethers.js,hyperledger/besu,hyperledger/besu,1.2,"Intuitively, the Ethereum network is ~5x more important than the ability to access it with javascript. Exec  clients are responsible for half of that, and Besu is 16% of exec client market share. Meanwhile, ethers.js gets 1/3 of the credit for javascript usability. 5 * 0.5 * 0.16 = 0.4, compare to 0.333 for ethers.js, hence 1.2x"
OffchainLabs/prysm,succinctlabs/sp1,OffchainLabs/prysm,1.67,"Consensus clients are critical for the operation of the Ethereum network, and Prysm is the second largest one, with ~22% market share. SP1 does important work, but not the only project in the ZK-EVM space. On the whole, intuitively, the Ethereum network existing at all is ~5x more important than the ZK-proving space. There, Succinct gets ~1/3 credit. Consensus clients are half of the ethereum network, and Prysm is ~22% of that, so 5 * 0.5 * 0.22 = 0.55, whereas succinct is 0.33, so we get ~1.67"
OffchainLabs/prysm,succinctlabs/sp1,OffchainLabs/prysm,1.67,"Consensus clients are critical for the operation of the Ethereum network, and Prysm is the second largest one, with ~22% market share. SP1 does important work, but not the only project in the ZK-EVM space. On the whole, intuitively, the Ethereum network existing at all is ~5x more important than the ZK-proving space. There, Succinct gets ~1/3 credit. Consensus clients are half of the ethereum network, and Prysm is ~22% of that, so 5 * 0.5 * 0.22 = 0.55, whereas succinct is 0.33, so we get ~1.67"
ethers-io/ethers.js,OffchainLabs/prysm,OffchainLabs/prysm,1.7,"Intuitively, the Ethereum network is ~5x more important than the ability to access it with javascript. Consensus clients are responsible for half of that, and Prysm is 22% of consensus client market share. Meanwhile, ethers.js gets 1/3 of the credit for javascript usability. 5 * 0.5 * 0.22 = 0.55, compare to 0.333 for ethers.js, hence 1.7x"
sigp/lighthouse,hyperledger/besu,sigp/lighthouse,1.5,"By raw market share, 48/16=3, but besu is minority so it contributes more to market share"
l2beat/l2beat,OpenZeppelin/openzeppelin-contracts,OpenZeppelin/openzeppelin-contracts,2,"Openzeppelin source code is widely used in production by many dAppps.

L2Beat advisory/research is valuable, but they don't directly influence safety of user funds to the extend OZepppelin source code does."
Consensys/teku,argotorg/solidity,argotorg/solidity,5,"There are multiple consensus clients, but there is only one ""mainstream"" Solidity stack. "
ethereum/EIPs,vyperlang/vyper,vyperlang/vyper,8,Vyper - python-like language is more important than administrative work which goes into publishing EIPs.
argotorg/hevm,vyperlang/vyper,vyperlang/vyper,7,
argotorg/solidity,ethereum/consensus-specs,ethereum/consensus-specs,9,
Consensys/teku,argotorg/hevm,Consensys/teku,5,5
ethereum-lists/chains,argotorg/solidity,argotorg/solidity,10,
vyperlang/vyper,Consensys/teku,vyperlang/vyper,8,
l2beat/l2beat,argotorg/solidity,argotorg/solidity,5,
NomicFoundation/hardhat,ethereum/consensus-specs,ethereum/consensus-specs,7,
remix-project-org/remix-project,scaffold-eth/scaffold-eth-2,remix-project-org/remix-project,10,
OpenZeppelin/openzeppelin-contracts,ethereum/go-ethereum,ethereum/go-ethereum,4,
blockscout/blockscout,safe-global/safe-smart-account,blockscout/blockscout,2,Decentralized open block explorers are critical. Safe is great infrastructure but less important.
ethers-io/ethers.js,remix-project-org/remix-project,ethers-io/ethers.js,2,
argotorg/sourcify,ethereum-lists/chains,argotorg/sourcify,2,
argotorg/sourcify,safe-global/safe-smart-account,safe-global/safe-smart-account,2,
blockscout/blockscout,ethers-io/ethers.js,ethers-io/ethers.js,2,
scaffold-eth/scaffold-eth-2,ethereum-lists/chains,ethereum-lists/chains,2,
ethers-io/ethers.js,ethereum-lists/chains,ethers-io/ethers.js,4,
OpenZeppelin/openzeppelin-contracts,argotorg/sourcify,OpenZeppelin/openzeppelin-contracts,2,
